"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","48e06318776abcebfed529fe58ad2fcf",431.45455,360,720,185.09448,2036.03925,0.59002,0.02924,0,0,0,3072.99174,5843.05786,-0.92144
"f","a33fb45ef2f51391e6ec33ebd68556e7",784,320,569,86.1509,1033.8108,0.36271,1,0,0.57346,0.79544,158.55556,1656.05556,-0.48164
"f","58cda9784e306b50aebf68c79eab7414",126,360,640,72.49102,652.41915,0.57285,1,0,0,0,166.61729,380.88889,-0.77832
"f","0703d9e1462f9de372465d6e32e8a27d",1399.16667,360,640,264.74085,1588.44509,0.20762,1,0,3.50001,3.50001,1554.88889,101,0.92105
"f","8d3933d1a04dc4fb821ed0340b1063a8",186.61539,360,640,65.51367,2555.03287,0.33157,1,0,7.22934,7.22934,8558.3787,2627.08482,0.21014
"f","8d3933d1a04dc4fb821ed0340b1063a8",285.54546,360,640,62.92114,692.13253,0.35498,1,0,0,0,134.5124,481.27273,0.70245
"f","8d3933d1a04dc4fb821ed0340b1063a8",968.5,640,360,217.92735,435.8547,0.23222,1,0,9.73944,9.73944,702.25,9,1
"f","0473471d75c1d93ba810f6ac619ab378",167.5,360,640,57.08895,342.53365,0.35486,1,0,0,0,135.33334,495.80556,-0.81456
"f","48e06318776abcebfed529fe58ad2fcf",336.45455,360,720,124.72318,1371.95489,0.3956,0.01783,0,0,0,196.38017,4014.41323,-0.34114
"f","8d3933d1a04dc4fb821ed0340b1063a8",532.66667,360,640,80.87094,727.83838,0.3507,1,0,10.1834,10.1834,245.33334,191.65433,0.38705
"f","e2731596e61e854d401fbeabdec5bf54",301.5,600,1024,296.86682,3562.40177,0.98685,1,1,0.49935,0.49935,916.30556,2313.55556,0.43289
"f","48e06318776abcebfed529fe58ad2fcf",7677.4,360,720,170.81533,854.07662,0.03858,0.00393,0,0,0,534.4,373.6,0.7672
"f","e2731596e61e854d401fbeabdec5bf54",412.8,1024,600,124.63116,623.15576,0.33122,1,1,0.49935,0.49935,1883.36,900.16001,0.14298
"f","8c47753e45070e4943f563a1d0ab5c1d",802.27778,360,640,158.96777,2861.41976,0.20461,1,0,1.02667,1.30415,312.64507,2131.83025,-0.00943
"f","5d9a70ce8549af81a6e5b0243676fb46",580.75,320,570,190.86958,763.4783,0.35874,1,0,0.3328,0.3328,10.25,73.6875,0.34113
"f","9c960c8e28004bd5a05eefd2a29f1dfe",253.30435,360,640,64.11588,1474.66511,0.32178,1,0,0.5,0.5,802.63517,479.96598,0.20259
"f","1b5f967569dc228c1f5ba7e2bc1f526a",668.63637,360,640,294.06277,3234.69039,0.48073,1,1,4.99459,4.99459,8964,8485.60331,0.45039
"f","0703d9e1462f9de372465d6e32e8a27d",359,360,640,306.57419,613.14838,0.95952,1,0,3.83334,3.83334,210.25,342.25,1
"f","8c47753e45070e4943f563a1d0ab5c1d",439.66667,360,640,74.97674,449.8604,0.3405,1,0,1.24865,1.45676,383.55556,2749.55556,-0.83008
