"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","10ee042a14d0a9cc413e2412fad579c9",415.33334,412,732,147.58101,885.48602,0.47918,1,0,0.31747,0.57143,681.80556,5441.47223,0.96903
"f","8d3933d1a04dc4fb821ed0340b1063a8",0,360,640,89.56848,358.2739,0,1,0,0,0,12.25,42.25,-1
"f","2e658c07bfc2c6486041f16805960d19",834.25,320,570,179.97964,2159.75559,0.31029,1,1,0.3328,0.3328,926.52084,4665.57639,-0.20462
"f","8d3933d1a04dc4fb821ed0340b1063a8",575.25,360,640,121.81547,974.5237,0.3153,1,0,5.55648,5.55648,62.23438,164.10938,-0.03169
"f","9c960c8e28004bd5a05eefd2a29f1dfe",499.16667,360,640,103.1762,619.05716,0.37775,1,1,0.91667,0.91667,362.47223,2485.88889,0.11091
"f","ca447ef6847a8593a4530b41066d365e",445.91667,360,640,73.99288,5327.48689,0.21404,1,0,4.93394,4.93394,329.54553,3454.23438,-0.57782
"f","amp-2Xyfg8OEq6JhydoWuX2s3Q",407.41936,360,640,92.31126,2861.64882,0.28719,1,0,0.63792,0.65367,7315.85432,1604.51197,0.63758
"f","8c47753e45070e4943f563a1d0ab5c1d",773.04879,360,640,108.3673,4443.05897,0.22442,1,0,1.36438,1.50447,8133.10292,6735.79893,0.48848
"f","8d3933d1a04dc4fb821ed0340b1063a8",727.92858,360,640,217.09654,3039.35145,0.45867,1,0,10.72052,10.72052,181.53062,1229.10205,-0.09989
"f","9c960c8e28004bd5a05eefd2a29f1dfe",185.16667,360,640,84.68273,1524.28911,0.42649,1,1,0.73612,0.73612,3356.91359,1367.77778,0.45964
"f","5d9a70ce8549af81a6e5b0243676fb46",0,320,570,159.15402,318.30803,0,1,0,0.3328,0.3328,0,0,nan
"f","58cda9784e306b50aebf68c79eab7414",360.2,360,640,88.72137,443.60684,0.08913,1,0,9.68949,9.68949,62.8,126.4,0.11
"f","58cda9784e306b50aebf68c79eab7414",959.44445,360,640,92.30296,830.72662,0.05184,1,0,7.76935,7.76935,96.0247,321.55556,-0.1977
"f","8c47753e45070e4943f563a1d0ab5c1d",506.08696,360,640,132.88038,3056.24867,0.42668,1,0,1.21608,1.42237,406.82042,1959.67864,0.0841
"f","0703d9e1462f9de372465d6e32e8a27d",213.66667,360,640,150.73718,452.21152,0.16359,1,0,4.11112,4.11112,490.88889,490.88889,1
"f","8c47753e45070e4943f563a1d0ab5c1d",989.9832,360,640,74.99918,8924.90171,0.11704,1,0,1.1794,1.50048,6069.37816,2452.13418,-0.38215
"f","8d3933d1a04dc4fb821ed0340b1063a8",288.38889,360,640,102.65894,1847.86077,0.44055,1,0,0,0,479.87655,8708.31173,0.95302
"f","0703d9e1462f9de372465d6e32e8a27d",366.33334,360,640,266.72316,1600.33893,0.39725,1,0,3.44445,3.44445,228.58334,613.55556,-0.74188
